Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Ighv3-6,59.444847489159486,6.740680712254416,3.04345930815381,1.579439489344205e-4,8.960058578251507e-4,TRUE
Gucy1a2,39.75022170789554,6.7378073552063045,2.479576063683188,1.3027116130692869e-5,1.038350441383261e-4,TRUE
A3galt2,22.487728710665973,6.699367537427205,2.48049238327479,1.2822528363500992e-5,1.0245815813633554e-4,TRUE
Asgr1,35.27882270197119,6.693386139677126,2.5737832449185465,2.7532889084079877e-5,1.9952042934240317e-4,TRUE
Ppara,37.908486533784234,6.579061584902983,2.3420930340999475,5.921750068890999e-6,5.290114996758017e-5,TRUE
Gm43305,50.382354445785026,6.557736891229788,2.902055484736646,1.424314140583411e-4,8.173714673091716e-4,TRUE
AU018091,19.86067973128358,6.557524122870919,2.502182639723879,2.1365384797213288e-5,1.599297221830952e-4,TRUE
Pclo,43.31092912400571,6.549387818531544,2.784299578485663,9.966103282263039e-5,5.999239908453008e-4,TRUE
Tlr9,45.48558119063484,6.48975790520489,2.509691177134811,3.062289723943721e-5,2.1887265131704384e-4,TRUE
Fbxl7,39.72053317497233,6.484923111353476,2.3462949734967857,8.44494922590027e-6,7.134780954310929e-5,TRUE
Hs3st6,33.295752453942164,6.451730438230682,2.446566631480791,2.082876256114138e-5,1.5664170675607102e-4,TRUE
B4galnt3,43.25520551572337,6.367110880426259,2.6453183029569534,NA,NA,NA
Rad51ap2,17.84685707288845,6.363978886760152,2.6202126127192504,6.778470275333488e-5,4.3216105900037313e-4,TRUE
Il22ra1,41.720995807777676,6.355701550803751,2.4806367261368534,3.472593827502993e-5,2.4457651893449573e-4,TRUE
Gm15883,26.33706769590844,6.276964177414552,2.464685241070808,3.57445962603937e-5,2.509270657479638e-4,TRUE
Ear-ps5,18.380676454790514,6.258709337460586,3.3190362796650623,4.996342993493017e-4,0.0023999602261603062,TRUE
BC043934,28.71265188761647,6.154808618984076,2.4340508404011225,3.9560048985218247e-5,2.735339346918475e-4,TRUE
Ly6g6g,23.43242866726761,6.146514281288667,2.3515538812857537,2.173074276596694e-5,1.6224080236065954e-4,TRUE
Gpr161,36.37997046156536,6.131489550623492,2.2782061966343337,1.3133541974316422e-5,1.0455382590275402e-4,TRUE
BC030500,44.60707085793474,6.115022570551643,2.619976361117304,1.1534548255447076e-4,6.79714450767417e-4,TRUE
Lhfpl4,31.153011367948867,6.072526635341352,2.3455131009726644,2.695328931126053e-5,1.9590860322058908e-4,TRUE
Itgb8,20.543791402741913,6.05528141256311,2.5139308621392646,7.728915202894358e-5,4.8443736360998565e-4,TRUE
Rbm20,44.25696951383855,6.018435484665999,2.365162566518422,3.9076547975020465e-5,2.7096722652937143e-4,TRUE
Tubb1,18.98716798854568,5.974268197059909,2.5236773321122006,9.650560065507316e-5,5.845750300113547e-4,TRUE
Ankmy1,25.0219572178089,5.907796417366754,2.367673551362615,4.8012154048017534e-5,3.2329076871188647e-4,TRUE
Ndn,106.1305168705028,5.899171541760439,1.2966612977267296,5.107596339660317e-7,6.094075855200397e-6,TRUE
Chrm3,47.23284067473493,5.882097208724439,1.603270991361211,6.116896677038997e-5,3.956003026808638e-4,TRUE
Gm7292,36.16633506525153,5.782344858351489,3.129875705797954,5.964985005322316e-4,0.0027841884798778366,TRUE
Rtn4rl2,35.54877061923473,5.781960189576112,2.293882881281656,4.2102569216944885e-5,2.8873538143272507e-4,TRUE
Rgs6,46.287480056972164,5.757427640956638,2.4346279564420783,1.0329356560201745e-4,6.179368713811425e-4,TRUE
Cacna1b,18.945466506360937,5.701044596949244,2.619371773637064,2.3687816802288957e-4,0.0012720258786319562,TRUE
Colq,31.704940135419594,5.6816843969782,2.6948281726919214,3.052955740956447e-4,0.0015783961054944885,TRUE
Gdf3,23.140506113867414,5.673818636558535,2.472078497252313,1.424737108259706e-4,8.173714673091716e-4,TRUE
Cnfn,19.280528973971048,5.6699463811261355,3.438498822875019,9.734290439017935e-4,0.0041963724090052215,TRUE
Ccl19,42.795661796308806,5.6603545008102305,2.8413568044653212,4.3857991928996867e-4,0.0021513463713588223,TRUE
1700013F07Rik,32.8141416414752,5.627694523082466,2.4407652166355875,1.3929115950047e-4,8.017339994503797e-4,TRUE
Zfp125,25.303408799640234,5.624590239471941,2.483086780427029,1.6532094824558228e-4,9.32103068306357e-4,TRUE
Gm4815,32.37231575548743,5.6233035331284915,2.6280893221668182,2.7637135279963876e-4,0.0014494292218954158,TRUE
Tmod2,130.17474229403751,5.610180869762839,1.439003902851569,4.703460640818296e-5,3.182625575569478e-4,TRUE
Ighv1-76,31.67552408483113,5.560782239857874,2.8090762064655523,4.6898078033214e-4,0.00227593613984715,TRUE
Gm47766,19.538938494799513,5.553402213993978,2.354933828959099,1.026235754473873e-4,6.14690699352098e-4,TRUE
Chst3,74.77478409297419,5.551328215851584,1.4803031162504328,6.828821503850448e-5,4.3482209726642643e-4,TRUE
Nrg1,234.2062723394723,5.5272949456436775,0.8488950133399927,4.494967752744849e-12,1.85642317387841e-10,TRUE
Ear10,39.70639559759714,5.515303063435857,2.318041786055426,7.289983853690714e-4,0.0032981752588586654,TRUE
Ugt1a6b,96.12093866784791,5.503439481215846,1.2792237044524661,3.777901384922091e-6,3.5611516716758284e-5,TRUE
Ak9,34.12564011573904,5.489027970585556,2.4080729353462513,1.6023687625639323e-4,9.066157374354253e-4,TRUE
Gm15853,18.054717077606195,5.477842731729397,2.262383363086814,7.10884205357543e-5,4.4995474047302846e-4,TRUE
Gm44710,21.32763835253879,5.454876511087164,2.31319230777237,1.0418228153265561e-4,6.224818771240844e-4,TRUE
2610507I01Rik,21.6564256900204,5.446111645228099,3.4454517498647697,0.0011149839844489392,0.00469665411734383,TRUE
Ighj1,65.34703726038012,5.438468981838307,3.081752290172213,7.758782024162591e-4,0.0034752502778760746,TRUE
Klk1b22,29.25847671317872,5.402914354272974,3.192593101676579,9.465423711069489e-4,0.004100763122580711,TRUE
Gm8276,16.029761638497586,5.386874457468092,2.3164065109333984,1.2181260750846089e-4,7.130358968923097e-4,TRUE
Rtl10,15.119041873534732,5.377374958482387,2.2990690857062295,1.1239191868240329e-4,6.651520509392384e-4,TRUE
Sox21,958.4125449665289,5.376839764669488,0.9304951389620671,1.8671371388805874e-10,5.300747421483785e-9,TRUE
Nap1l2,15.975085770861607,5.373986110945927,2.5768700051286513,3.578989183011353e-4,0.001811071721573635,TRUE
Fgf13,60.09374014778791,5.3704632989783985,1.3129857524723243,8.22521262493179e-6,6.991974008115728e-5,TRUE
Tmem211,21.08354198428496,5.345483602253008,2.737769623416749,5.678018942409436e-4,0.002670910226199175,TRUE
