Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Fam78b,96.22768960341746,-0.5306088140170415,0.3793010131176725,-1.3989121981396555,0.16183931420473247,0.6216173731131605,FALSE
Irs1,371.80538391579694,-0.530665067474533,0.40598946984732154,-1.3070907175846151,0.19118190343261762,0.6452290910146229,FALSE
Nsun3,183.26613674350784,-0.5308028307217368,0.4572521116677272,-1.1608537548044326,0.24570137811032808,0.6829870449872659,FALSE
Zdhhc21,414.76098630026553,-0.5308300182377171,0.3456406440442258,-1.53578587294206,0.12459090563050433,0.5864348104519658,FALSE
Mettl7a3,5.620734791705045,-0.530839891409012,1.224828912029638,-0.4333992169807361,0.6647247692892795,0.902674648902522,FALSE
Impad1,1603.8969348551716,-0.531048375551201,0.3890717043897053,-1.3649113249810834,0.17228092236161552,0.6294216683945427,FALSE
Zbtb46,137.9649330127655,-0.5312091964830612,0.6538578207275173,-0.8124230981775356,0.4165488967890121,0.7913661248549355,FALSE
Sinhcaf,102.01006400458705,-0.5313637889612003,0.4937011006101266,-1.0762864176412192,0.2817991812031405,0.710285457713151,FALSE
Dvl3,686.9033733135567,-0.5314835171711554,0.24409107686788106,-2.177398387483173,0.02945085589764747,0.4318308761829113,FALSE
Hipk2,486.14306599447247,-0.5314899695821147,0.5755468084601582,-0.9234522053976548,0.35577159663652913,0.7551486923515623,FALSE
Zfp53,239.37804695184468,-0.5315957550964285,0.34797139825222045,-1.5276995688913244,0.12658714721775782,0.5909089883549694,FALSE
Bbs7,130.6519056907563,-0.5316193064361537,0.37452339220344916,-1.4194555467108625,0.15576624807207853,0.6184248451040539,FALSE
Med13l,1032.3915444416198,-0.5317057526940134,0.2561284589073358,-2.0759339081737034,0.0379000640957864,0.4560916896298033,FALSE
Rnf2,579.8322365404068,-0.5317172723126763,0.33701039777315317,-1.5777473805736502,0.11462365663217514,0.5748256359578505,FALSE
Tbc1d12,159.70900831383082,-0.5319874566326188,0.43894600390969213,-1.2119655991721223,0.22552554927273455,0.6686393696035288,FALSE
Gm10046,6.558073156344932,-0.5320333040021104,1.0178934631156995,-0.5226807355394485,0.6011964464772854,0.8771466852855764,FALSE
Slc7a10,12.696584309986084,-0.5320412738900138,1.2519427791391853,-0.42497251691953236,0.6708567095761109,0.9044501957946124,FALSE
Rsbn1,287.03106196710127,-0.5321706017417547,0.3972117085581139,-1.3397656470740607,0.18032154739825995,0.6368916775289449,FALSE
Ubr1,770.3185444898834,-0.5321891789209828,0.5158325326131438,-1.03170921815454,0.30220835776984434,0.7247835846916875,FALSE
Mrc2,510.37450135558214,-0.5321932631875606,0.4472604462619386,-1.1898956584143838,0.23408740511322923,0.6739058493157697,FALSE
Pou2f1,401.2813981607024,-0.5323268598000471,0.3767109824843953,-1.4130908960746797,0.15762899970761607,0.6190540734601678,FALSE
Phactr4,1631.3774824485647,-0.5324877908647204,0.40767470829137953,-1.3061585132333806,0.19149865785530182,0.6452290910146229,FALSE
Zc4h2,51.964497911997164,-0.5327604924653729,0.5207689153002233,-1.0230266761568065,0.3062952331603762,0.7275186492390012,FALSE
Gnb4,283.9935646860196,-0.5327660923567674,0.41677387621291684,-1.2783097088469955,0.2011402458867779,0.6523004605641536,FALSE
Cse1l,754.9410308381047,-0.5327807540860728,0.265302436489444,-2.008201511964898,0.04462188241913669,0.4664783519983528,FALSE
Ptgfrn,4498.461297066524,-0.5328029596719374,0.2815363218557769,-1.8924839117024381,0.05842653521398046,0.4908032340260372,FALSE
Dock10,360.51499419309266,-0.5328838703207779,0.5984650100271869,-0.8904177544090175,0.37324161253941807,0.7662240271046211,FALSE
Gm14706,23.90312456828845,-0.5328846026773063,0.9494888031651483,-0.5612331613610609,0.5746385992958719,0.8655530101848223,FALSE
