Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Ccpg1os,261.19575912739214,0.26669027433789894,0.4406984313393116,0.6051536728356613,0.5450768943676416,0.6593722394970781,FALSE
9430091E24Rik,8.663733397212605,0.26644180052574,1.2460922961694634,0.21382188249200526,0.830685959810986,0.8884427952438274,FALSE
Appl2,1738.962921206243,0.2659142778710129,0.40419601948462625,0.6578844547011355,0.5106123803773921,0.6291805708294859,FALSE
Ltn1,733.9654412246949,0.2656913686901655,0.2593824555892856,1.0243228212430437,0.3056828222526597,0.42949103956241597,FALSE
Cnpy4,539.5964421270176,0.26550416577362507,0.2093635173217412,1.2681491463749592,0.2047446935086658,0.3187799900744443,FALSE
Lcmt2,373.31555256639916,0.26533442522220607,0.3929690135550523,0.6752044463297983,0.4995458821266373,0.6186599393306222,FALSE
Vps37b,758.3967583063817,0.2650640330275219,0.43975772414526265,0.6027501473515103,0.5466749156267462,0.6606296867714764,FALSE
Atxn3,629.388977240751,0.26475520599785446,0.2393335155099654,1.106218681632287,0.26863187876592465,0.3908900595142968,FALSE
Iqub,30.30067117863107,0.2641048761335036,1.3040295424048918,0.20252982585535698,0.8395025438476207,0.8940090803717078,FALSE
Morc4,186.6991634236077,0.26371772744004257,0.28726819385022956,0.9180192345886183,0.3586087959879005,0.4842573311797999,FALSE
Cd82,2485.4348687491647,0.2632219738930115,0.3426287842353512,0.7682424419782685,0.4423431629098893,0.5662755145872289,FALSE
Klhl4,10.894719060988493,0.26245766512769286,1.2748568016623252,0.20587227113309212,0.8368906859001114,0.8926556545279657,FALSE
Elavl1,973.5563155013114,0.2622932491266032,0.18025242191444266,1.4551441048104277,0.1456293712379466,0.24651297467250619,FALSE
Babam2,919.787064922614,0.2621375181750393,0.3108187443570262,0.8433774440383538,0.3990173827606915,0.5250380369054168,FALSE
Gm15672,4.599172438329359,0.26211739989472493,1.3887585407968777,0.18874224150176636,0.8502948426255049,0.9018703333270354,FALSE
Uvrag,1051.282559796551,0.2617573229524802,0.3505268104217667,0.7467540717856196,0.4552120238209033,0.5783014029917438,FALSE
Aldh3b1,1646.8529273582897,0.2615182733053692,0.361626943745381,0.7231714279827068,0.4695745703014185,0.5913717189424544,FALSE
Muc4,2946.8694028319305,0.26112737136474934,0.7808488971281639,0.3344147277727274,0.738066627362729,0.8183078475325916,FALSE
Cacng8,1.9998935608988193,0.26106089595395265,2.45026847203907,0.10654379262232534,0.91515091163004,NA,NA
Atg4c,252.14476367212873,0.2610151941957694,0.36610803432837,0.7129458239686141,0.4758792818217436,0.5971753824631926,FALSE
Fam214b,708.7867883458223,0.2608130854060138,0.27595829678389444,0.945117753101147,0.3445987627581099,0.4700734253141119,FALSE
